Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATTIC_SOFFIT_EAST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ATTIC_SOFFIT_NORTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ATTIC_SOFFIT_SOUTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ATTIC_SOFFIT_WEST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ATTIC_ROOF_EAST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ATTIC_ROOF_NORTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ATTIC_ROOF_SOUTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ATTIC_ROOF_WEST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_1_WALL_SOUTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_1_WALL_SOUTH_DOOR:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_3:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_4:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_5:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_6:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_2_WALL_EAST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_2_WALL_EAST_WINDOW_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_2_WALL_EAST_WINDOW_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_2_WALL_EAST_WINDOW_3:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_2_WALL_EAST_WINDOW_4:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_3_WALL_NORTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_3_WALL_NORTH_WINDOW_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_3_WALL_NORTH_WINDOW_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_3_WALL_NORTH_WINDOW_3:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_3_WALL_NORTH_WINDOW_4:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_3_WALL_NORTH_WINDOW_5:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_3_WALL_NORTH_WINDOW_6:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_4_WALL_WEST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_4_WALL_WEST_WINDOW_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_4_WALL_WEST_WINDOW_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_4_WALL_WEST_WINDOW_3:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),PERIMETER_ZN_4_WALL_WEST_WINDOW_4:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ATTIC:Zone Air Temperature [C](Hourly),ATTIC:Zone Air System Sensible Heating Rate [W](Hourly),ATTIC:Zone Air System Sensible Cooling Rate [W](Hourly),CORE_ZN:Zone Air Temperature [C](Hourly),CORE_ZN:Zone Air System Sensible Heating Rate [W](Hourly),CORE_ZN:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_ZN_1:Zone Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Air System Sensible Heating Rate [W](Hourly),PERIMETER_ZN_1:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_ZN_2:Zone Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Air System Sensible Heating Rate [W](Hourly),PERIMETER_ZN_2:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_ZN_3:Zone Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Air System Sensible Heating Rate [W](Hourly),PERIMETER_ZN_3:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_ZN_4:Zone Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Air System Sensible Heating Rate [W](Hourly),PERIMETER_ZN_4:Zone Air System Sensible Cooling Rate [W](Hourly),CORE_ZN IDEAL LOADS:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),CORE_ZN IDEAL LOADS:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PERIMETER_ZN_1 IDEAL LOADS:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PERIMETER_ZN_1 IDEAL LOADS:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PERIMETER_ZN_2 IDEAL LOADS:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PERIMETER_ZN_2 IDEAL LOADS:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PERIMETER_ZN_3 IDEAL LOADS:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PERIMETER_ZN_3 IDEAL LOADS:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PERIMETER_ZN_4 IDEAL LOADS:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PERIMETER_ZN_4 IDEAL LOADS:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly) 
 01/01  01:00:00,-7.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.717759214143565,0.0,0.0,19.18067468671057,0.0,0.0,17.38124913419144,0.0,0.0,16.844363384199283,0.0,0.0,16.80645831366317,0.0,0.0,16.663013589018778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,-11.908333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.169527310046929,0.0,0.0,18.740552947853644,0.0,0.0,16.78068764967274,0.0,0.0,16.27421039882196,0.0,0.0,16.269491101565553,0.0,0.0,16.101820477197002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,-11.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.678020706017136,0.0,0.0,18.425586119485946,0.0,0.0,16.427341685024174,0.0,0.0,15.927631108874019,0.0,0.0,15.940759927620649,0.0,0.0,15.759402916826184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.242407688507944,0.0,0.0,18.16217197596906,0.0,0.0,16.12598306469894,0.0,0.0,15.634672510939765,0.0,0.0,15.663071692765536,0.0,0.0,15.470461995047009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,-10.808333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.46161497956608,0.0,0.0,17.919845851836325,0.0,0.0,15.845737501452524,0.0,0.0,15.364109465706603,0.0,0.0,15.406556542265436,0.0,0.0,15.204181573419765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,-10.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.488243820533484,0.0,0.0,17.69418070397047,0.0,0.0,15.586469834195233,0.0,0.0,15.113757113693866,0.0,0.0,15.169935366279836,0.0,0.0,14.958467314171399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,-10.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.523835467387306,0.0,0.0,17.47536620939881,0.0,0.0,15.327179850548928,0.0,0.0,14.865948682768673,0.0,0.0,14.934654611128098,0.0,0.0,14.714299069326719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,-10.25,3.659430381572959,3.659430381572959,3.659430381572959,3.659430381572959,45.61037720372062,10.207270335795355,37.960451304473885,10.207270335795355,69.70258188050099,72.53536789544525,72.29256125111421,72.29201900118264,72.29201900118264,72.29201900118264,72.29201900118264,72.29256122293766,94.04398453929046,96.46162606136085,96.46108381142926,96.46108381142926,96.46162603318437,7.238839173779472,7.764799739719095,7.764257489787504,7.764257489787504,7.764257489787504,7.764257489787504,7.764799711542616,7.24102757322111,7.764799739719099,7.764257489787504,7.764257489787504,7.764799711542616,-11.358411606094245,0.0,0.0,17.275486518284293,0.0,0.0,15.239898038860867,0.0,0.0,14.824356282619169,0.0,0.0,14.734989721393736,0.0,0.0,14.509249180085952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,-9.358333333333334,24.142558736819126,24.142558736819126,24.142558736819126,24.142558736819126,226.99951326099733,35.29866448446918,224.99417485258314,37.03747591799196,344.77021686266056,370.8357751817162,370.0421690260384,370.04039669857667,370.04039669857667,370.04039669857667,370.04039669857667,370.04216893394397,352.67397980525647,376.37780607635415,376.37603374889255,376.37603374889255,376.37780598426025,34.64084773932617,36.598734964345525,36.59696263688385,36.59696263688385,36.59696263688385,36.59696263688385,36.59873487225156,34.64854610982062,36.598734964345546,36.59696263688385,36.59696263688385,36.59873487225156,-9.793109096492778,0.0,0.0,21.989465622485145,2068.9891307935136,0.0,21.980541292930013,3028.66230694658,0.0,21.977922000128718,2378.7513989231898,0.0,21.97558981052364,4560.77525780893,0.0,21.97380048766904,3092.721603057862,0.0,7791199.894624808,0.0,11381633.690400718,0.0,8884254.81779055,0.0,17012004.913968887,0.0,11510815.978842292,0.0,0.0,56579909.29562725 
 01/01  10:00:00,-7.616666666666668,49.157965257277105,49.157965257277105,49.157965257277105,49.157965257277105,355.44199170402527,70.37710386846658,412.45485383411443,127.38996599855584,543.1699095103504,600.4219223329525,599.3798437391343,599.3775165085607,599.3775165085607,599.3775165085607,599.3775165085607,599.379843618206,366.63333716576926,419.2542349439611,419.2519077133873,419.2519077133873,419.25423482303313,56.328025526129785,59.00210557848197,58.99977834790817,58.99977834790817,58.99977834790817,58.99977834790817,59.002105457554045,56.33836999287931,59.002105578481995,58.99977834790817,58.99977834790817,59.002105457554045,-6.2983352980142655,0.0,0.0,22.169929596469604,47.24080929565736,0.0,22.2261863387448,153.81005626053815,0.0,21.999999999996277,591.7309573108058,0.0,21.99999999998306,1873.795079507537,0.0,21.999999999962018,1319.2072229732169,0.0,169982.0489114374,0.0,553491.0794657787,0.0,2129521.957280492,0.0,6743402.584905824,0.0,4747609.074422417,0.0,0.0,14344006.74498595 
